term	count	suggested_zh	status
tractor	167		needs-termbase-decision
Light	73	灯光	needs-termbase-decision
Material	65	材质	needs-termbase-decision
The	42		needs-termbase-decision
Integrator	39		needs-termbase-decision
Density	39	密度	needs-termbase-decision
Samples	39	采样/样本	needs-termbase-decision
Server	39	服务器	needs-termbase-decision
File	37	文件	needs-termbase-decision
Add	37		needs-termbase-decision
Editor	36		needs-termbase-decision
and	35		needs-termbase-decision
Library	35		needs-termbase-decision
Volume	35	体积	needs-termbase-decision
Output	34	输出	needs-termbase-decision
Displacement	34	置换	needs-termbase-decision
Pro	34		needs-termbase-decision
Path	32		needs-termbase-decision
Texture	30	纹理	needs-termbase-decision
engine	30	Engine（调度引擎）	needs-termbase-decision
Display	30		needs-termbase-decision
Box	29		needs-termbase-decision
Mudbox	28		needs-termbase-decision
Scene	27	场景	needs-termbase-decision
Properties	27		needs-termbase-decision
Viewer	26		needs-termbase-decision
root	25		needs-termbase-decision
Asset	25		needs-termbase-decision
Rendering	24	渲染	needs-termbase-decision
Camera	24	相机	needs-termbase-decision
View	24		needs-termbase-decision
License	24		needs-termbase-decision
profile	23		needs-termbase-decision
Preferences	23		needs-termbase-decision
Frame	23		needs-termbase-decision
crew	23		needs-termbase-decision
max	23		needs-termbase-decision
Eugene	22		needs-termbase-decision
List	21		needs-termbase-decision
Dragon	21		needs-termbase-decision
Attribution	21		needs-termbase-decision
International	21		needs-termbase-decision
Filter	20	滤镜	needs-termbase-decision
Tab	20		needs-termbase-decision
Use	20		needs-termbase-decision
Stylized	20		needs-termbase-decision
shader	20	着色器	needs-termbase-decision
Motion	20		needs-termbase-decision
Shader	19	着色器	needs-termbase-decision
Attributes	19	属性	needs-termbase-decision
Create	19		needs-termbase-decision
Layer	19	层	needs-termbase-decision
Depth	19		needs-termbase-decision
Sampling	19	采样	needs-termbase-decision
Riecansky	19		needs-termbase-decision
Object	18	对象	needs-termbase-decision
Surface	18		needs-termbase-decision
Focus	18		needs-termbase-decision
Mode	18		needs-termbase-decision
bin	18		needs-termbase-decision
Studio	18		needs-termbase-decision
mode	17		needs-termbase-decision
Info	17		needs-termbase-decision
Trace	17		needs-termbase-decision
Holdout	17		needs-termbase-decision
Sample	17	采样/样本	needs-termbase-decision
min	17		needs-termbase-decision
Configuration	16	配置	needs-termbase-decision
Set	16		needs-termbase-decision
limit	16		needs-termbase-decision
priority	16		needs-termbase-decision
Barn	16		needs-termbase-decision
Distance	16		needs-termbase-decision
Catmull-Clark	16		needs-termbase-decision
Shutter	16		needs-termbase-decision
Map	16	贴图	needs-termbase-decision
Roundness	16		needs-termbase-decision
object	15	对象	needs-termbase-decision
Angle	15		needs-termbase-decision
light	15	灯光	needs-termbase-decision
Length	15		needs-termbase-decision
micropolygonlength	15		needs-termbase-decision
for	15		needs-termbase-decision
Lights	15	灯光	needs-termbase-decision
Bake	15		needs-termbase-decision
job	15	作业	needs-termbase-decision
Disk	15		needs-termbase-decision
Fundamentals	15		needs-termbase-decision
Mesh	15		needs-termbase-decision
layer	15	层	needs-termbase-decision
Bokeh	15		needs-termbase-decision
Preview	14		needs-termbase-decision
slot	14		needs-termbase-decision
Projection	14		needs-termbase-decision
etc	14		needs-termbase-decision
Base	14		needs-termbase-decision
Workspace	14		needs-termbase-decision
Offset	14		needs-termbase-decision
Vector	14		needs-termbase-decision
Edit	14		needs-termbase-decision
Bias	14		needs-termbase-decision
Menu	13		needs-termbase-decision
Lighting	13		needs-termbase-decision
user	13	用户	needs-termbase-decision
Viewport	13		needs-termbase-decision
diffuse	13	漫反射	needs-termbase-decision
Materials	13	材质	needs-termbase-decision
Art	13		needs-termbase-decision
Filters	13	滤镜	needs-termbase-decision
Value	13	值	needs-termbase-decision
Kaboom	13		needs-termbase-decision
Fresnel	12		needs-termbase-decision
User	12	用户	needs-termbase-decision
gamma	12		needs-termbase-decision
